year,hs2,cou,exports,imports,tradebalance
2000,36,Manitoba,89196.0,10965331.0,-10876135.0
2000,36,New Brunswick,,4000954.0,-4000954.0
2000,36,Newfoundland and Labrador,77818.0,24375.0,53443.0
2000,36,Nova Scotia,352.0,7910767.0,-7910415.0
2000,36,Ontario,15742716.0,39639090.0,-23896374.0
2000,36,Quebec,96378161.0,37099432.0,59278729.0
2000,36,Saskatchewan,,13877054.0,-13877054.0
2000,36,Total All Countries,116256049.0,164096476.0,-47840427.0
2000,36,Yukon Territory,4873.0,80463.0,-75590.0
2000,37,Alberta,1344246.0,3986385.0,-2642139.0
2000,37,British Columbia,4610406.0,36806731.0,-32196325.0
2000,37,Manitoba,495478.0,4774930.0,-4279452.0
2000,37,New Brunswick,,86391.0,-86391.0
2000,37,Newfoundland and Labrador,,32462.0,-32462.0
2000,37,Nova Scotia,17758.0,81313.0,-63555.0
2000,37,Ontario,491829284.0,917834194.0,-426004910.0
2000,37,Prince Edward Island,,4491.0,-4491.0
2000,37,Quebec,6723678.0,40371856.0,-33648178.0
2000,37,Saskatchewan,7535.0,1554664.0,-1547129.0
2000,37,Total All Countries,505028385.0,1005534816.0,-500506431.0
2000,37,Yukon Territory,,1399.0,-1399.0
2000,38,Alberta,57126187.0,299714386.0,-242588199.0
2000,38,British Columbia,35340474.0,189274308.0,-153933834.0
2000,38,Manitoba,42777692.0,219609985.0,-176832293.0
2000,38,New Brunswick,1422307.0,55162915.0,-53740608.0
2000,38,Newfoundland and Labrador,364521.0,4505333.0,-4140812.0
2000,38,Northwest Territories,,149.0,-149.0
2000,38,Nova Scotia,5386337.0,9530027.0,-4143690.0
2000,38,Ontario,660947787.0,2014170625.0,-1353222838.0
2000,38,Prince Edward Island,8810312.0,120174.0,8690138.0
2000,38,Quebec,261880993.0,282393872.0,-20512879.0
2000,38,Saskatchewan,78871795.0,240791768.0,-161919973.0
2000,38,Total All Countries,1152928405.0,3315332372.0,-2162403967.0
2000,38,Yukon Territory,,58830.0,-58830.0
2000,39,Alberta,1080297888.0,395233114.0,685064774.0
2000,39,British Columbia,441522858.0,735033237.0,-293510379.0
2000,39,Manitoba,219813111.0,412608139.0,-192795028.0
2000,39,New Brunswick,50133557.0,111278260.0,-61144703.0
2000,39,Newfoundland and Labrador,709189.0,2389532.0,-1680343.0
2000,39,Northwest Territories,124293.0,719.0,123574.0
2000,39,Nova Scotia,102606743.0,19097234.0,83509509.0
2000,39,Nunavut,159.0,,159.0
2000,39,Ontario,7118322876.0,8250564162.0,-1132241286.0
2000,39,Prince Edward Island,7320849.0,617831.0,6703018.0
2000,39,Quebec,1996979814.0,1504061777.0,492918037.0
2000,39,Saskatchewan,47396306.0,180316612.0,-132920306.0
2000,39,Total All Countries,11065541393.0,11611215686.0,-545674293.0
2000,39,Yukon Territory,313750.0,15069.0,298681.0
2000,40,Alberta,70299819.0,168476386.0,-98176567.0
2000,40,British Columbia,28001754.0,366337115.0,-338335361.0
2000,40,Manitoba,8031172.0,206011017.0,-197979845.0
2000,40,New Brunswick,2551984.0,162656648.0,-160104664.0
2000,40,Newfoundland and Labrador,107736.0,1742572.0,-1634836.0
2000,40,Northwest Territories,519.0,381.0,138.0
2000,40,Nova Scotia,839729983.0,106062584.0,733667399.0
2000,40,Ontario,2110351095.0,3590592392.0,-1480241297.0
2000,40,Prince Edward Island,304875.0,72295.0,232580.0
2000,40,Quebec,813269682.0,571719356.0,241550326.0
2000,40,Saskatchewan,2200321.0,60236564.0,-58036243.0
2000,40,Total All Countries,3874869310.0,5233937355.0,-1359068045.0
2000,40,Yukon Territory,20370.0,30045.0,-9675.0
2000,41,Alberta,88662645.0,2784245.0,85878400.0
2000,41,British Columbia,9091588.0,9478729.0,-387141.0
2000,41,Manitoba,30005407.0,100895632.0,-70890225.0
